,State,Total_Count,temp_0,humid_0,vis_0,temp_1,humid_1,vis_1,temp_2,humid_2,vis_2,temp_3,humid_3,vis_3
0,AL,101044,16690,20789,4128,24878,23800,4768,27865,23225,5030,30271,31581,85801
1,AR,22780,7019,4055,1338,5449,4946,1462,4876,5541,1132,4978,7710,18349
2,AZ,170609,19240,131997,1307,38977,17100,1055,35356,9178,1530,72026,7171,159538
3,CA,1741433,216511,570808,59447,715221,423863,94157,469609,431178,101063,294123,267243,1442267
4,CO,90885,47522,43658,7656,19287,16153,3231,12607,14368,2072,10186,15339,68082
5,CT,71005,28912,16558,4772,17113,19086,3604,15151,16586,2268,9532,18402,60111
6,DC,18630,5700,5196,430,4710,5086,604,3889,4088,420,3406,3335,16265
7,DE,14097,4728,3024,568,3235,3958,641,3392,3499,524,2662,3533,12217
8,FL,880192,20441,87918,19745,104440,279223,21828,280998,262462,27244,460485,235106,799501
9,GA,169234,32224,35993,8738,47114,38619,9107,46808,35517,8410,39930,55772,139924
10,IA,26307,14916,3723,2901,3666,5572,1920,3563,7581,1190,3583,8776,19525
11,ID,11376,6481,4207,700,2132,2196,503,1175,1985,336,1493,2740,9636
12,IL,168958,77358,27001,11181,30428,49272,10659,35006,54215,8293,25297,37513,137433
13,IN,67224,28118,8946,4487,12844,15090,5052,14689,18915,3701,10638,22986,52676
14,KS,20992,8093,4118,1616,3517,4609,1137,3234,4811,665,3491,4762,14879
15,KY,32254,10648,5730,1795,7185,7691,2219,7604,8970,1897,6597,9619,26076
16,LA,149701,16130,24514,5486,31933,37651,6690,42644,39501,7421,57751,46653,128670
17,MA,61996,27695,13472,5343,14368,16291,3179,12408,15122,1609,7118,16606,49115
18,MD,140417,47540,29177,6479,30785,31853,7385,25279,25598,6917,21100,37962,92106
19,ME,2698,1278,522,331,539,698,150,574,587,80,281,864,2101
20,MI,162191,81974,24571,15030,29893,41736,12218,29605,50781,8433,20265,44574,125884
21,MN,192084,128336,26415,23311,22633,43795,16013,22128,62564,10347,16260,56403,138990
22,MO,77323,30710,16152,4528,15384,19595,5121,15042,20781,3146,15164,19680,63405
23,MS,15181,2696,2655,773,3536,3421,807,4129,3517,628,4598,5348,12748
24,MT,28496,22626,4955,5416,2481,5375,1951,1451,9549,1203,1307,7954,18683
25,NC,338199,81445,88849,15892,85973,82964,16026,86726,67593,13583,80037,94731,288447
26,ND,3487,2336,441,578,313,464,331,295,1079,161,274,1210,2090
27,NE,28870,12109,6159,1316,5329,7954,1435,5207,8563,1289,6055,6022,24713
28,NH,10213,5486,2298,1409,1821,2378,703,1671,2068,352,1147,3373,7597
29,NJ,140719,51050,37462,8632,32895,36630,8601,29794,28538,4979,24188,34798,113159
30,NM,10325,3570,6777,203,2445,1638,135,1990,1122,112,2169,637,9718
31,NV,21665,9547,12646,936,4250,3658,586,2824,2971,464,4788,2121,19210
32,NY,347960,138754,79460,27214,80458,98421,15684,75808,86868,11290,50872,81020,284439
33,OH,118115,53659,17958,9223,26862,28229,9428,22769,34256,8013,14185,36833,89942
34,OK,83647,20927,26850,2498,18732,23186,2881,17657,17362,2185,25624,15514,75293
35,OR,179660,88796,35334,14553,50781,33723,9836,21130,48322,7826,15721,58960,143786
36,PA,296620,129770,57664,22853,64395,79415,20233,57933,69823,13801,38527,83008,231064
37,RI,16971,6604,3494,1241,4004,4417,978,3567,3469,515,2244,5027,13478
38,SC,382557,75821,88395,16822,99774,85519,19080,100746,76376,19815,99410,125286,318671
39,SD,289,109,72,15,91,100,2,62,77,4,26,39,257
40,TN,167388,43075,43066,8214,41139,41077,7528,40490,44583,6497,42028,37937,144669
41,TX,582837,74185,158415,20155,122675,145020,25896,152724,139392,26410,224812,130783,491139
42,UT,97079,46349,40679,5617,15649,17439,3362,11381,14992,2655,15866,16107,77503
43,VA,303301,91823,70132,12836,72193,70433,13780,66829,58674,10669,54807,85520,248094
44,VT,926,546,137,145,142,218,77,142,209,22,79,345,648
45,WA,108221,45101,15023,5071,39851,23727,5842,16241,29952,4858,6499,38788,91562
46,WI,34688,18690,5180,3957,6112,9025,2578,6090,10624,1767,3578,9637,26160
47,WV,13793,5459,2559,1410,3362,3312,938,2985,3040,720,1806,4697,10559
48,WY,3757,2704,766,514,318,602,187,189,1226,93,112,729,2555
